0,1,7
0,4,6
0,3,9
1,2,4
1,6,3
1,5,5
2,3,2
2,7,8
2,10,1
3,8,7
3,9,9
4,6,2
4,5,8
4,7,4
5,8,6
5,10,3
6,7,5
6,11,6
7,9,7
7,11,1
8,10,2
8,12,4
9,13,9
9,12,5
10,14,8
10,13,3
11,14,7
11,15,2
12,16,1
12,15,6
13,17,4
13,16,9
14,18,5
14,17,3
15,18,8
15,19,1
16,20,7
16,19,2
17,21,6
17,20,8
18,22,5
18,21,9
19,23,3
19,24,4
20,25,1
20,24,5
21,26,8
21,25,9
22,27,2
22,26,7
23,28,6
23,27,4
24,29,3
24,28,5
25,30,1
25,29,9
26,31,7
26,30,2
27,32,4
27,31,6
28,33,5
28,32,8
29,34,9
29,33,1
30,35,3
30,34,7
31,36,2
31,35,8
32,37,4
32,36,6
33,38,5
33,37,9
34,39,1
34,38,2
35,40,6
35,39,4
36,41,3
36,40,8
37,42,7
37,41,9
38,43,2
38,42,1
39,44,4
39,43,3
40,45,5
40,44,8
41,46,1
41,45,6
42,47,7
42,46,9
43,48,2
43,47,5
44,49,3
44,48,4
45,50,9
45,49,1
46,51,6
46,50,7
47,52,8
47,51,2
48,53,5
48,52,9
49,54,4
49,53,6
50,55,1
50,54,3
51,56,7
51,55,8
52,57,9
52,56,2
53,58,5
53,57,6
54,59,4
54,58,8
55,60,1
55,59,7
56,61,3
56,60,9
57,62,2
57,61,5
58,63,8
58,62,6
59,64,7
59,63,4
60,65,9
60,64,1
61,66,3
61,65,5
62,67,6
62,66,8
63,68,7
63,67,2
64,69,1
64,68,4
65,70,9
65,69,3
66,71,5
66,70,7
67,72,6
67,71,8
68,73,2
68,72,9
69,74,1
69,73,4
70,75,8
70,74,6
71,76,3
71,75,7
72,77,5
72,76,9
73,78,4
73,77,1
74,79,6
74,78,2
75,80,8
75,79,3
76,81,7
76,80,9
77,82,1
77,81,4
78,83,5
78,82,6
79,84,3
79,83,8
80,85,9
80,84,2
81,86,4
81,85,7
82,87,6
82,86,1
83,88,8
83,87,5
84,89,2
84,88,9
85,90,7
85,89,3
86,91,1
86,90,6
87,92,5
87,91,8
88,93,4
88,92,9
89,94,3
89,93,2
90,95,1
90,94,5
91,96,7
91,95,8
92,97,6
92,96,9
93,98,4
93,97,3
94,99,2
94,98,1
95,100,5
95,99,6
96,100,8
96,1,7
97,2,4
97,3,5
98,4,3
98,5,6
99,6,2
99,7,9
100,8,1
